safras,PlantioInicio,Plantiofim,CentroSul,MedioNorte,Nordeste,Noroeste,Norte,Oeste,Sudeste,ONI
2007/2008,,,3.700,3.750,3.600,3.600,,3.770,3.800,0.23
2008/2009,01/dez,01/abr,3.927,3.934,3.500,3.873,,3.982,4.206,-1.25
2009/2010,10/dez,04/fev,3.429,3.159,3.100,3.069,,3.275,3.597,-0.47
2010/2011,13/jan,17/fev,2.688,3.237,3.152,3.173,,3.509,3.368,0.66
2011/2012,05/jan,23/fev,3.878,3.748,3.975,3.913,3.870,3.819,3.933,-1.05
2012/2013,06/dez,28/fev,3.524,3.439,3.825,3.647,,3.597,3.639,-0.63
2013/2014,05/dez,06/mar,3.880,3.865,3.973,3.766,,3.981,3.988,-0.48
2014/2015,19/dez,13/mar,3.911,4.028,3.900,3.900,,4.246,4.108,-0.25
2015/2016,09/dez,25/fev,3.578,3.367,2.866,3.060,,3.798,3.389,0.57
2016/2017,15/dez,03/mar,4.126,4.082,4.394,3.900,,4.299,4.157,0.2
2017/2018,08/dez,02/mar,4.127,4.160,4.020,3.945,3.975,4.308,4.170,-0.42
2018/2019,14/dez,22/fev,4.216,4.156,4.033,3.949,3.900,4.486,4.253,-0.88
2019/2020,06/dez,21/fev,4.436,4.626,4.612,4.614,4.262,4.685,4.524,0.55
2020/2021,18/dez,05/mar,4.113,3.947,4.214,4.144,4.136,4.414,4.022,-0.08
2021/2022,10/dez,25/fev,3.750,3.889,3.596,3.883,3.873,3.424,3.930,-1
2022/2023,16/dez,03/mar,4.678,4.658,4.365,4.709,4.614,4.750,4.609,-1.23
2023/2024,08/dez,23/fev,4.570,4.304,4.168,4.372,4.193,4.598,4.172,-0.48
2024/2025,13/dez,28/fev,4.747,4.694,4.480,4.728,4.498,4.878,4.644,0.54
2025/2026,12/dez,27/fev,4.715,4.681,4.607,4.768,4.629,4.834,4.654,-0.8
