safras,PlantioInicio,Plantiofim,CentroSul,MedioNorte,Nordeste,Noroeste,Norte,Oeste,Sudeste,ONI
2007/2008,,,4.324,4.342,3.917,4.215,3.763,4208,4400,
2008/2009,22/jan,03/set,4.018,4.216,3.960,3.960,3.960,4.020,4.109,
2009/2010,14/jan,20/ago,3.989,4.241,3.565,3.311,3.278,3.644,4.277,
2010/2011,27/jan,25/ago,3.048,4.522,3.757,2.871,3.320,3.139,3.900,
2011/2012,12/jan,24/ago,6.000,6.300,6.060,5.880,5.700,6.180,6.180,
2012/2013,10/jan,05/set,5.654,6.351,5.560,5.400,5.400,5.851,6.084,-0.82
2013/2014,16/jan,04/set,5.544,5.149,5.636,5.400,4.403,5.737,6.201,-0.28
2014/2015,15/jan,03/set,6.331,6.607,6.360,5.819,5.704,6.875,6.509,0.58
2015/2016,14/jan,18/ago,4.638,4.663,2.355,3.829,3.869,5.347,4.656,2.32
2016/2017,06/jan,01/set,6.358,6.537,5.969,5.880,5.578,6.837,6.528,-0.38
2017/2018,12/jan,07/set,6.006,6.210,5.134,5.896,5.697,6.443,5.650,-0.82
2018/2019,11/jan,16/ago,6.343,6.656,6.456,6.469,6.013,6.989,6.866,0.8
2019/2020,03/jan,21/ago,6.159,6.633,6.442,6.480,6.211,6.667,6.550,0.45
2020/2021,22/jan,27/ago,5.450,5.457,5.463,5.705,5.682,6.419,5.343,-1.07
2021/2022,14/jan,19/ago,5.536,6.508,5.947,6.106,6.237,5.902,5.868,-0.95
2022/2023,13/jan,18/ago,6.926,7.227,6.724,6.854,6.978,6.981,7.014,-0.65
2023/2024,05/jan,09/ago,6.651,7.336,6.427,6.814,6.608,7.459,6.597,1.38
2024/2025,17/jan,22/ago,7.677,8.187,6.680,7.287,7.049,8.197,7.709,-0.92
2025/2026,09/jan,21/ago,7.650,8.112,7.323,7.738,7.566,8.119,7.180,
